time,playerXPos,playerZPos,playerAngle,door1Angle,door2Angle,door3Angle,printTimeEntered,printTimeExited,AngleDifference,TimeUntilHit
0,0.051,-3.309,89.1169991230481,5.464151E-05,120.0001,240.0001,enter undefined,exit undefined,30.8830555184586,1.40377525083903
0.1,0,-3.45,90.0000010505524,134.0991,254.0991,14.09912,enter undefined,exit undefined,44.0991200431976,2.00450545650898
0.28,0,-3.45,90.0000010505524,130.2931,250.2931,10.29309,enter undefined,exit undefined,40.2930897697601,1.83150408044364
0.38,0,-3.45,90.0000010505524,128.0497,248.0497,8.049713,enter undefined,exit undefined,38.0497120842132,1.72953236746424
0.49,0,-3.45,90.0000010505524,125.7283,245.7283,5.728317,enter undefined,exit undefined,35.7283162101898,1.62401437319044
0.59,0,-3.45,90.0000010505524,123.3965,243.3965,3.396545,enter undefined,exit undefined,33.3965367302093,1.5180243968277
0.69,0,-3.45,90.0000010505524,121.164,241.164,1.163971,enter undefined,exit undefined,31.1639622673187,1.41654373942358
0.8,0,-3.45,90.0000010505524,118.8539,238.8539,358.8539,enter undefined,exit undefined,28.8539113029632,1.31154142286196
0.9,0,-3.45,90.0000010505524,116.5703,236.5703,356.5703,enter undefined,exit undefined,26.5703038200531,1.20774108272968
1.01,0,-3.45,90.0000010505524,114.2865,234.2865,354.2865,enter undefined,exit undefined,24.2865361198577,1.10393345999353
1.13,0,-3.45,90.0000010505524,111.5756,231.5756,351.5756,enter undefined,exit undefined,21.5755833610687,0.980708334594031
1.26,0,-3.45,90.0000010505524,108.6516,228.6516,348.6516,enter undefined,exit undefined,18.6516484245452,0.847802201115693
1.37,0,-3.45,90.0000010505524,106.1605,226.1605,346.1605,enter undefined,exit undefined,16.1605137809906,0.734568808226843
1.48,0,-3.45,90.0000010505524,103.9213,223.9213,343.9213,enter undefined,exit undefined,13.9213322624359,0.632787830110721
1.58,0,-3.45,90.0000010505524,101.6942,221.6942,341.6942,enter undefined,exit undefined,11.6942051872406,0.531554781238207
1.68,0,-3.45,90.0000010505524,99.44933,219.4493,339.4493,enter undefined,exit undefined,9.44932451097102,0.429514750498683
1.78,0,-3.45,90.0000010505524,97.16231,217.1623,337.1623,enter undefined,exit undefined,7.1623066887054,0.325559394941155
1.88,0,-3.45,90.0000010505524,94.93083,214.9308,334.9308,enter undefined,exit undefined,4.93083085862727,0.224128675392149
1.99,0,-3.45,90.0000010505524,92.66717,212.6672,332.6672,enter undefined,exit undefined,2.66716661302181,0.121234846046446
2.09,0,-3.45,90.0000010505524,90.37198,210.372,330.372,enter undefined,exit undefined,0.371977709213212,0.0169080776915096
2.2,0,-3.45,90.0000010505524,88.07299,208.073,328.073,enter undefined,exit undefined,118.072989366928,5.36695406213309
2.3,0,-3.45,90.0000010505524,85.84019,205.8402,325.8402,enter undefined,exit undefined,115.840193651596,5.26546334779982
2.4,0,-3.45,90.0000010505524,83.54254,203.5425,323.5425,enter undefined,exit undefined,113.542540453354,5.16102456606154
2.51,0,-3.45,90.0000010505524,81.28567,201.2857,321.2857,enter undefined,exit undefined,111.285666368881,5.05843938040369
2.61,0,-3.45,90.0000010505524,79.01727,199.0173,319.0173,enter undefined,exit undefined,109.017264269272,4.95533019405781
2.71,0,-3.45,90.0000010505524,76.78224,196.7822,316.7822,enter undefined,exit undefined,106.782240770737,4.85373821685166
2.81,0,-3.45,90.0000010505524,74.53205,194.532,314.532,enter undefined,exit undefined,104.532050035873,4.75145681981242
2.91,0,-3.45,90.0000010505524,72.29756,192.2976,312.2975,enter undefined,exit undefined,102.297560594955,4.64988911795252
3.02,0,-3.45,90.0000010505524,70.0169,190.0169,310.0169,enter undefined,exit undefined,100.016898058334,4.54622263901519
3.12,0,-3.45,90.0000010505524,67.787,187.787,307.787,enter undefined,exit undefined,97.7870015129241,4.44486370513291
3.22,0,-3.45,90.0000010505524,65.48782,185.4878,305.4878,enter undefined,exit undefined,95.4878148063812,4.34035521847187
